FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,Hygiene,Structural,ConfidenceInManagement,NewRatingPending,Longitude,Latitude,AddressLine4
1380222,21/00389/COMM,Tog Cafe,Restaurant/Cafe/Canteen,1,"FOURTH FLOOR, HENRY WOOD HOUSE, 2 RIDING HOUSE STREET",,LONDON,W1W 7FA,5,fhrs_5_en-GB,2021-07-22,533,Westminster,0,5,0,FALSE,-0.1426289,51.5176546,
411342,00335/0038/1/001,Toi And Moi Cafe,Restaurant/Cafe/Canteen,1,38 BERWICK STREET,,LONDON,W1F 8RT,5,fhrs_5_en-GB,2022-05-18,533,Westminster,5,0,5,FALSE,-0.1357699,51.5147851,
865509,16/00163/COMM,Tokimeite,Restaurant/Cafe/Canteen,1,23 CONDUIT STREET,,LONDON,W1S 2XS,2,fhrs_2_en-GB,2022-05-05,533,Westminster,10,15,10,FALSE,-0.1425417,51.5120058,
1392209,21/00472/COMM,Toklas Restaurant,Restaurant/Cafe/Canteen,1,1 SURREY STREET,,LONDON,WC2R 2ND,5,fhrs_5_en-GB,2022-01-07,533,Westminster,0,5,5,FALSE,-0.1153971,51.5121086,
413922,01465/0002/0/000,Tokyo Diner,Restaurant/Cafe/Canteen,1,2 NEWPORT PLACE,,LONDON,WC2H 7JP,4,fhrs_4_en-GB,2022-03-22,533,Westminster,5,10,5,FALSE,-0.1293324,51.5118499,
1221027,20/00053/COMM,Tokyo Pizza,Takeaway/sandwich shop,7844,47 MAIDA VALE,,LONDON,W9 1SD,5,fhrs_5_en-GB,2020-08-28,533,Westminster,5,5,5,FALSE,-0.1788357,51.525965,
1553361,22/00618/COMM,Tokyonigiri,Other catering premises,7841,81 BLANDFORD STREET,,LONDON,W1U 8AD,AwaitingInspection,fhrs_awaitinginspection_en-GB,,533,Westminster,,,,FALSE,-0.1568782,51.5177984,
411971,00614/0036/0/000,Tom Cribb Public House,Restaurant/Cafe/Canteen,1,36 PANTON STREET,,LONDON,SW1Y 4EA,5,fhrs_5_en-GB,2023-01-21,533,Westminster,5,5,0,FALSE,-0.1318307,51.5096145,
412104,00666/0114/0/000,Tom Tom Coffee House,Restaurant/Cafe/Canteen,1,114 EBURY STREET,,LONDON,SW1W 9QD,5,fhrs_5_en-GB,2021-10-29,533,Westminster,0,0,0,FALSE,-0.1502527,51.4934948,
580309,01057/0030/0/000,Tommi's Burger Joint,Restaurant/Cafe/Canteen,1,30 THAYER STREET,,LONDON,W1U 2QP,5,fhrs_5_en-GB,2023-05-10,533,Westminster,,,,FALSE,-0.1512489,51.5176379,
941369,17/00011/COMM,Tommi'S Burger Joint,Restaurant/Cafe/Canteen,1,"BASEMENT WEST AND GROUND FLOOR, 37 BERWICK STREET",,LONDON,W1F 8RS,5,fhrs_5_en-GB,2023-01-11,533,Westminster,0,5,5,FALSE,-0.1356465,51.5146302,
411420,00404/0014/0/000,Tomtom Mess Hall,Restaurant/Cafe/Canteen,1,14 ECCLESTON STREET,,LONDON,SW1W 9LT,5,fhrs_5_en-GB,2020-01-31,533,Westminster,0,5,0,FALSE,-0.1478565,51.49468,
1099882,19/00030/COMM,Tongue And Brisket,Restaurant/Cafe/Canteen,1,199 WARDOUR STREET,,LONDON,W1F 8JP,5,fhrs_5_en-GB,2023-03-29,533,Westminster,0,5,0,FALSE,,,
535873,00953/0063/0/000,Tonkotsu,Restaurant/Cafe/Canteen,1,"BASEMENT TO FIRST FLOOR, 63 DEAN STREET",,LONDON,W1D 4QG,5,fhrs_5_en-GB,2022-11-04,533,Westminster,0,5,0,FALSE,,,
908533,16/00310/COMM,Tonkotsu Concession @ Selfridges,Restaurant/Cafe/Canteen,1,"CONCESSION, SELFRIDGES, 400 OXFORD STREET",,LONDON,W1A 1AB,5,fhrs_5_en-GB,2019-09-05,533,Westminster,0,5,5,FALSE,-0.1528138,51.5145871,
1392212,21/00475/COMM,Tony Page @ Island Grill,Restaurant/Cafe/Canteen,1,"ROYAL LANCASTER HOTEL, LANCASTER TERRACE",,LONDON,W2 2TY,5,fhrs_5_en-GB,2023-03-16,533,Westminster,0,0,0,FALSE,,,
413946,01471/0030/0/000,Tony'S House Hotel,Hotel/bed & breakfast/guest house,7842,30 NORFOLK SQUARE,,LONDON,W2 1RS,4,fhrs_4_en-GB,2012-05-16,533,Westminster,5,10,5,FALSE,-0.1734884,51.5162148,
1341500,21/00130/COMM,Too Craven Ltd,Takeaway/sandwich shop,7844,,,,,5,fhrs_5_en-GB,2021-04-26,533,Westminster,5,0,5,FALSE,,,
411724,00530/0528/0/000,Top Look Food And Wine,Retailers - other,4613,528 HARROW ROAD,,LONDON,W9 3QF,3,fhrs_3_en-GB,2022-12-03,533,Westminster,5,10,10,FALSE,-0.2035395,51.5253747,
1059860,13/00277/COMM,Tophams Hotel,Hotel/bed & breakfast/guest house,7842,24-32 EBURY STREET,,LONDON,SW1W 0LU,4,fhrs_4_en-GB,2022-11-07,533,Westminster,0,0,10,FALSE,-0.1478714,51.4957324,
413761,01380/0008/3/000,Tops Pizza,Restaurant/Cafe/Canteen,1,"GROUND FLOOR, 8 GREAT WESTERN ROAD",,LONDON,W9 3NN,4,fhrs_4_en-GB,2022-08-25,533,Westminster,,,,FALSE,-0.2018789,51.5239824,
741330,01576/0460/0/000,Tortilla,Restaurant/Cafe/Canteen,1,460 STRAND,,LONDON,WC2R 0RG,5,fhrs_5_en-GB,2015-03-05,533,Westminster,5,5,5,FALSE,-0.1265858,51.5081909,
411797,00560/0006/0/000,Tortilla,Restaurant/Cafe/Canteen,1,6 Market Place,London,,W1W 8AE,5,fhrs_5_en-GB,2020-08-19,533,Westminster,5,5,0,TRUE,-0.139988,51.516533,
1154429,19/00247/COMM,Tortilla,Takeaway/sandwich shop,7844,88 WARDOUR STREET,,LONDON,W1F 0TH,5,fhrs_5_en-GB,2019-11-12,533,Westminster,0,5,0,FALSE,,,
715221,14/00144/COMM,Tortilla,Restaurant/Cafe/Canteen,1,"UNIT R16, VICTORIA PLACE, 115 BUCKINGHAM PALACE ROAD",,LONDON,SW1W 9SJ,4,fhrs_4_en-GB,2023-02-16,533,Westminster,5,10,5,FALSE,-0.1457445,51.4945387,
